defteam,plays,sacks,qb_hits,avg_time_to_throw,sack_rate,pressure_rate_proxy
DEN,820,76.0,164.0,2.6984172,0.093,0.293
CLE,594,53.0,103.0,2.6009688,0.089,0.263
MIN,553,49.0,95.0,2.6590617,0.089,0.26
LA,830,52.0,134.0,2.7209852,0.063,0.224
ATL,665,57.0,90.0,2.6813953,0.086,0.221
DET,685,49.0,99.0,2.830551,0.072,0.216
KC,617,35.0,98.0,2.6744444,0.057,0.216
HOU,736,56.0,102.0,2.65269,0.076,0.215
LAC,665,50.0,93.0,2.67635,0.075,0.215
SEA,867,56.0,129.0,2.7596514,0.065,0.213
PIT,762,51.0,111.0,2.6338258,0.067,0.213
TEN,634,42.0,92.0,2.7271063,0.066,0.211
NO,593,45.0,79.0,2.804297,0.076,0.209
NE,802,48.0,119.0,2.7404559,0.06,0.208
PHI,706,43.0,104.0,2.722787,0.061,0.208
DAL,679,35.0,105.0,2.7458334,0.052,0.206
GB,707,37.0,108.0,2.8090048,0.052,0.205
BUF,643,37.0,92.0,2.7642984,0.058,0.201
NYG,670,39.0,93.0,2.669661,0.058,0.197
WAS,659,42.0,88.0,2.8112068,0.064,0.197
LV,629,37.0,81.0,2.7253141,0.059,0.188
MIA,627,39.0,75.0,2.700183,0.062,0.182
CHI,725,40.0,92.0,2.696937,0.055,0.182
TB,674,37.0,86.0,2.641385,0.055,0.182
IND,734,39.0,93.0,2.794411,0.053,0.18
CIN,639,35.0,78.0,2.8362346,0.055,0.177
BAL,728,30.0,96.0,2.656595,0.041,0.173
JAX,791,33.0,94.0,2.615147,0.042,0.161
ARI,660,30.0,69.0,2.7163062,0.045,0.15
CAR,635,31.0,59.0,2.724782,0.049,0.142
NYJ,615,26.0,58.0,2.6302369,0.042,0.137
SF,725,23.0,61.0,2.7478979,0.032,0.116
