defteam,plays,epa_allowed,success_rate_allowed,split
ARI,824,0.13194156,0.49029127,early_down
ATL,793,0.016253242,0.44262296,early_down
BAL,803,0.05851586,0.45080948,early_down
BUF,815,-0.037627235,0.4196319,early_down
CAR,824,0.024224455,0.43082523,early_down
CHI,914,0.06624289,0.46717724,early_down
CIN,802,0.13302001,0.47256857,early_down
CLE,751,-0.06455993,0.40745673,early_down
DAL,802,0.11151009,0.48254365,early_down
DEN,894,-0.074307084,0.37024608,early_down
DET,789,-0.026990823,0.4119138,early_down
GB,851,0.043687366,0.44065806,early_down
HOU,820,-0.16793047,0.3682927,early_down
IND,854,0.0056881,0.44613582,early_down
JAX,820,-0.060903188,0.41341463,early_down
KC,732,0.0006030435,0.42759562,early_down
LA,952,-0.027795123,0.42857143,early_down
LAC,778,-0.06497082,0.4151671,early_down
LV,802,-0.0070642517,0.43765587,early_down
MIA,776,0.08866651,0.49226806,early_down
MIN,770,-0.0933733,0.41558442,early_down
NE,931,-0.03714937,0.43931258,early_down
NO,784,-0.035228617,0.4234694,early_down
NYG,811,0.07347059,0.46855733,early_down
NYJ,821,0.15049438,0.46163216,early_down
PHI,853,-0.027765965,0.42086753,early_down
PIT,875,-0.048633166,0.41828573,early_down
SEA,922,-0.060519833,0.4067245,early_down
SF,895,0.093130894,0.49720672,early_down
TB,756,0.047592763,0.45502645,early_down
TEN,772,0.09531659,0.4468912,early_down
WAS,825,0.1470797,0.4751515,early_down
ARI,226,-0.056414917,0.47345132,late_down
ATL,249,-0.07256278,0.45381525,late_down
BAL,269,-0.06404228,0.42007434,late_down
BUF,249,0.08265723,0.4618474,late_down
CAR,245,0.22584207,0.4979592,late_down
CHI,249,-0.101093434,0.4257028,late_down
CIN,229,0.11120952,0.49344978,late_down
CLE,241,-0.18624623,0.3900415,late_down
DAL,220,0.36914194,0.5090909,late_down
DEN,298,-0.08828843,0.38255033,late_down
DET,244,0.04762259,0.43442622,late_down
GB,278,0.017406743,0.44964027,late_down
HOU,275,-0.13948129,0.3927273,late_down
IND,244,-0.013595139,0.4795082,late_down
JAX,264,-0.16022953,0.4280303,late_down
KC,245,-0.08254831,0.4612245,late_down
LA,320,-0.107822254,0.41875,late_down
LAC,235,-0.1311869,0.41276595,late_down
LV,247,0.13752416,0.49392712,late_down
MIA,235,0.09169198,0.45957446,late_down
MIN,246,-0.12319143,0.3902439,late_down
NE,292,-0.2604283,0.37671232,late_down
NO,243,-0.14510013,0.39506173,late_down
NYG,217,0.12163346,0.4654378,late_down
NYJ,230,0.13635302,0.4347826,late_down
PHI,265,-0.21111079,0.42264152,late_down
PIT,288,0.24508551,0.4965278,late_down
SEA,317,-0.30738425,0.3753943,late_down
SF,242,0.00075770804,0.44214877,late_down
TB,230,-0.08281037,0.4347826,late_down
TEN,216,0.13304923,0.4722222,late_down
WAS,243,0.12836596,0.47736627,late_down
ARI,207,0.09556713,0.44444445,red_zone
ATL,174,-0.11029469,0.35632184,red_zone
BAL,198,-0.18650432,0.34343433,red_zone
BUF,181,0.088415064,0.44198895,red_zone
CAR,173,0.092918605,0.42774567,red_zone
CHI,187,-0.014761147,0.43850267,red_zone
CIN,188,0.13045709,0.44680852,red_zone
CLE,143,-0.022264777,0.3986014,red_zone
DAL,196,0.23854084,0.45918366,red_zone
DEN,176,-0.10719497,0.35227272,red_zone
DET,171,-0.05014945,0.4269006,red_zone
GB,192,-0.023348048,0.390625,red_zone
HOU,126,0.0011528957,0.4047619,red_zone
IND,206,-0.09699416,0.4368932,red_zone
JAX,162,0.07873568,0.46296296,red_zone
KC,145,0.025840288,0.39310345,red_zone
LA,197,-0.060057383,0.38071066,red_zone
LAC,156,-0.2168772,0.35897437,red_zone
LV,213,-0.071203485,0.42723006,red_zone
MIA,167,0.16536553,0.502994,red_zone
MIN,162,-0.14395317,0.36419752,red_zone
NE,152,-0.042999934,0.43421054,red_zone
NO,131,-0.061601233,0.45038167,red_zone
NYG,158,0.093846954,0.443038,red_zone
NYJ,190,0.24343495,0.48421052,red_zone
PHI,168,-0.10072799,0.45833334,red_zone
PIT,181,-0.030556092,0.35911602,red_zone
SEA,180,-0.19943646,0.4,red_zone
SF,168,-0.012822677,0.4940476,red_zone
TB,122,0.0776501,0.46721312,red_zone
TEN,155,0.18143015,0.48387095,red_zone
WAS,193,0.11030721,0.47668394,red_zone
