posteam,plays,epa_per_play,success_rate,split
ARI,818,0.00179326,0.42665038,early_down
ATL,799,0.06800856,0.45556948,early_down
BAL,728,0.038554367,0.44642857,early_down
BUF,925,0.106643885,0.48108107,early_down
CAR,797,-0.041191455,0.4366374,early_down
CHI,941,0.07666877,0.44952178,early_down
CIN,806,-0.05190267,0.44540942,early_down
CLE,760,-0.15381593,0.33421052,early_down
DAL,862,0.08800838,0.4651972,early_down
DEN,913,0.02971329,0.42825848,early_down
DET,806,0.102872096,0.46029776,early_down
GB,812,0.07592085,0.46182266,early_down
HOU,927,-0.0344822,0.40237325,early_down
IND,784,0.047441833,0.46173468,early_down
JAX,874,0.028765209,0.4473684,early_down
KC,797,0.024315005,0.4416562,early_down
LA,1000,0.18558876,0.523,early_down
LAC,855,-0.041578703,0.41871345,early_down
LV,694,-0.17270665,0.37463978,early_down
MIA,724,0.02695039,0.43370166,early_down
MIN,723,-0.053839564,0.44121715,early_down
NE,984,0.070147246,0.45731708,early_down
NO,805,-0.045602787,0.41863355,early_down
NYG,813,-0.009798301,0.41451415,early_down
NYJ,731,-0.08238575,0.41586867,early_down
PHI,816,0.0019970143,0.4362745,early_down
PIT,781,-0.00402959,0.43277848,early_down
SEA,929,0.052810095,0.45855758,early_down
SF,919,0.016962985,0.46463546,early_down
TB,801,0.006012262,0.4144819,early_down
TEN,728,-0.09304056,0.3791209,early_down
WAS,759,0.03300728,0.45981553,early_down
ARI,252,-0.07758919,0.44444445,late_down
ATL,233,-0.3291391,0.37339056,late_down
BAL,226,0.018976921,0.44247788,late_down
BUF,269,0.2653583,0.51301116,late_down
CAR,257,-0.031917047,0.4163424,late_down
CHI,307,0.061491683,0.46579805,late_down
CIN,238,0.1415991,0.48739496,late_down
CLE,264,-0.29115993,0.37878788,late_down
DAL,239,0.12128175,0.46443516,late_down
DEN,284,0.029146608,0.4471831,late_down
DET,244,0.0099484,0.4262295,late_down
GB,249,0.2632286,0.5140562,late_down
HOU,283,-0.006253705,0.44876325,late_down
IND,220,0.17431426,0.47272727,late_down
JAX,250,0.047657426,0.452,late_down
KC,248,0.06459368,0.4516129,late_down
LA,260,-0.013407256,0.44615385,late_down
LAC,283,-0.020719552,0.46643108,late_down
LV,245,-0.3353862,0.37959182,late_down
MIA,215,-0.16051848,0.37209302,late_down
MIN,216,-0.32500798,0.375,late_down
NE,280,0.15462978,0.475,late_down
NO,256,-0.2114723,0.42578125,late_down
NYG,262,0.07277924,0.4351145,late_down
NYJ,270,-0.26609024,0.37407407,late_down
PHI,248,0.08852757,0.41532257,late_down
PIT,248,-0.007633937,0.42741936,late_down
SEA,253,0.0034160833,0.45849803,late_down
SF,256,0.22339344,0.51953125,late_down
TB,256,-0.04179016,0.45703125,late_down
TEN,267,-0.3413367,0.35955057,late_down
WAS,213,-0.08488475,0.4460094,late_down
ARI,169,-0.0910532,0.3846154,red_zone
ATL,142,0.029461129,0.4225352,red_zone
BAL,177,-0.15063438,0.37288135,red_zone
BUF,228,0.14287916,0.4868421,red_zone
CAR,160,-0.03609843,0.43125,red_zone
CHI,208,-0.0026567327,0.41826922,red_zone
CIN,151,0.06636133,0.46357617,red_zone
CLE,129,-0.08405355,0.3488372,red_zone
DAL,199,-0.063453615,0.4120603,red_zone
DEN,185,0.112410486,0.43783784,red_zone
DET,191,0.14917894,0.40837696,red_zone
GB,182,0.11007345,0.46703297,red_zone
HOU,185,-0.12925218,0.34054053,red_zone
IND,194,0.15866373,0.45360824,red_zone
JAX,222,-0.01803833,0.46396396,red_zone
KC,189,-0.041783635,0.4021164,red_zone
LA,230,0.09583128,0.5217391,red_zone
LAC,173,-0.111664064,0.39884394,red_zone
LV,117,-0.15798652,0.34188035,red_zone
MIA,143,0.035355624,0.44755244,red_zone
MIN,150,-0.0834092,0.42,red_zone
NE,194,0.0068020048,0.44329897,red_zone
NO,126,-0.14343485,0.35714287,red_zone
NYG,185,-0.30320188,0.3189189,red_zone
NYJ,129,-0.15349819,0.41860464,red_zone
PHI,165,0.1171053,0.47272727,red_zone
PIT,170,0.008916326,0.42941177,red_zone
SEA,206,0.053307187,0.4223301,red_zone
SF,211,0.19358692,0.47393364,red_zone
TB,149,-0.002534732,0.38926175,red_zone
TEN,101,0.0789282,0.45544556,red_zone
WAS,158,0.06657394,0.46835443,red_zone
