defteam,rush_plays,avg_yards_allowed,stuffed_rate
SEA,434,3.4331796,0.21889400921658986
HOU,416,3.4567308,0.22596153846153846
DEN,436,3.5183487,0.22247706422018348
JAX,355,3.5875707,0.19436619718309858
MIN,508,3.718504,0.23228346456692914
KC,408,3.737745,0.2034313725490196
IND,413,3.7554479,0.2106537530266344
NO,479,3.7933195,0.20668058455114824
NE,474,3.8101265,0.21729957805907174
LV,472,3.8940678,0.2330508474576271
LA,498,3.9096386,0.1746987951807229
GB,482,3.96875,0.18049792531120332
LAC,400,3.9975,0.245
BAL,391,4.023018,0.20460358056265984
TB,355,4.033803,0.2535211267605634
PHI,461,4.034707,0.1540130151843818
TEN,405,4.11358,0.22469135802469137
CLE,438,4.1484017,0.22602739726027396
CAR,479,4.217119,0.162839248434238
SF,470,4.224359,0.20638297872340425
PIT,455,4.252747,0.17142857142857143
NYJ,485,4.266529,0.21237113402061855
ATL,428,4.2686915,0.17757009345794392
DET,402,4.383085,0.15671641791044777
MIA,433,4.4919167,0.21016166281755197
ARI,445,4.5135136,0.19101123595505617
DAL,404,4.528536,0.2103960396039604
WAS,462,4.59436,0.16883116883116883
CHI,487,4.644033,0.17659137577002054
BUF,459,4.858388,0.20261437908496732
CIN,433,5.108545,0.13163972286374134
NYG,419,5.2720766,0.20763723150357996
