team,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Week_19,Week_20,Week_21,Week_22
ARI,@ NO,vs CAR,@ SF,vs SEA,vs TEN,@ IND,vs GB,BYE,@ DAL,@ SEA,vs SF,vs JAX,@ TB,vs LA,@ HOU,vs ATL,@ CIN,@ LA,BYE,BYE,BYE,BYE
ATL,vs TB,@ MIN,@ CAR,vs WAS,BYE,vs BUF,@ SF,vs MIA,@ NE,@ IND,vs CAR,@ NO,@ NYJ,vs SEA,@ TB,@ ARI,vs LA,vs NO,BYE,BYE,BYE,BYE
BAL,@ BUF,vs CLE,vs DET,@ KC,vs HOU,vs LA,BYE,vs CHI,@ MIA,@ MIN,@ CLE,vs NYJ,vs CIN,vs PIT,@ CIN,vs NE,@ GB,@ PIT,BYE,BYE,BYE,BYE
BUF,vs BAL,@ NYJ,vs MIA,vs NO,vs NE,@ ATL,BYE,@ CAR,vs KC,@ MIA,vs TB,@ HOU,@ PIT,vs CIN,@ NE,@ CLE,vs PHI,vs NYJ,@ JAX,@ DEN,BYE,BYE
CAR,@ JAX,@ ARI,vs ATL,@ NE,vs MIA,vs DAL,@ NYJ,vs BUF,@ GB,vs NO,@ ATL,@ SF,vs LA,BYE,@ NO,vs TB,vs SEA,@ TB,vs LA,BYE,BYE,BYE
CHI,vs MIN,@ DET,vs DAL,@ LV,BYE,@ WAS,vs NO,@ BAL,@ CIN,vs NYG,@ MIN,vs PIT,@ PHI,@ GB,vs CLE,vs GB,@ SF,vs DET,vs GB,vs LA,BYE,BYE
CIN,@ CLE,vs JAX,@ MIN,@ DEN,vs DET,@ GB,vs PIT,vs NYJ,vs CHI,BYE,@ PIT,vs NE,@ BAL,@ BUF,vs BAL,@ MIA,vs ARI,vs CLE,BYE,BYE,BYE,BYE
CLE,vs CIN,@ BAL,vs GB,@ DET,vs MIN,@ PIT,vs MIA,@ NE,BYE,@ NYJ,vs BAL,@ LV,vs SF,vs TEN,@ CHI,vs BUF,vs PIT,@ CIN,BYE,BYE,BYE,BYE
DAL,@ PHI,vs NYG,@ CHI,vs GB,@ NYJ,@ CAR,vs WAS,@ DEN,vs ARI,BYE,@ LV,vs PHI,vs KC,@ DET,vs MIN,vs LAC,@ WAS,@ NYG,BYE,BYE,BYE,BYE
DEN,vs TEN,@ IND,@ LAC,vs CIN,@ PHI,@ NYJ,vs NYG,vs DAL,@ HOU,vs LV,vs KC,BYE,@ WAS,@ LV,vs GB,vs JAX,@ KC,vs LAC,BYE,vs BUF,vs NE,BYE
DET,@ GB,vs CHI,@ BAL,vs CLE,@ CIN,@ KC,vs TB,BYE,vs MIN,@ WAS,@ PHI,vs NYG,vs GB,vs DAL,@ LA,vs PIT,@ MIN,@ CHI,BYE,BYE,BYE,BYE
GB,vs DET,vs WAS,@ CLE,@ DAL,BYE,vs CIN,@ ARI,@ PIT,vs CAR,vs PHI,@ NYG,vs MIN,@ DET,vs CHI,@ DEN,@ CHI,vs BAL,@ MIN,@ CHI,BYE,BYE,BYE
HOU,@ LA,vs TB,@ JAX,vs TEN,@ BAL,BYE,@ SEA,vs SF,vs DEN,vs JAX,@ TEN,vs BUF,@ IND,@ KC,vs ARI,vs LV,@ LAC,vs IND,@ PIT,@ NE,BYE,BYE
